,number,value,datetime_start,datetime_complete,duration,params_n_neighbors,state
0,0,,2023-01-08 19:26:25.740151,,,1,RUNNING
1,1,,2023-01-08 19:26:25.762187,,,1,RUNNING
2,2,,2023-01-08 19:26:25.788979,,,2,RUNNING
3,3,,2023-01-08 19:26:25.813237,,,9,RUNNING
4,4,,2023-01-08 19:26:25.836135,,,9,RUNNING
5,5,,2023-01-08 19:26:25.858316,,,2,RUNNING
6,6,,2023-01-08 19:26:25.882092,,,3,RUNNING
7,7,,2023-01-08 19:26:25.920652,,,10,RUNNING
8,8,0.7607648965134614,2023-01-08 19:30:17.654460,2023-01-08 19:32:03.133013,0 days 00:01:45.478553,8,COMPLETE
9,9,0.7323464339171355,2023-01-08 19:30:17.679184,2023-01-08 19:31:55.496042,0 days 00:01:37.816858,1,COMPLETE
10,10,0.7323464339171355,2023-01-08 19:30:17.702280,2023-01-08 19:32:14.970537,0 days 00:01:57.268257,1,COMPLETE
11,11,0.7660799808527654,2023-01-08 19:30:17.728412,2023-01-08 19:33:05.369857,0 days 00:02:47.641445,10,COMPLETE
12,12,0.7323464339171355,2023-01-08 19:30:17.753126,2023-01-08 19:32:59.693156,0 days 00:02:41.940030,1,COMPLETE
13,13,0.7435851953288827,2023-01-08 19:30:17.777707,2023-01-08 19:32:48.039171,0 days 00:02:30.261464,3,COMPLETE
14,14,0.7592971990314719,2023-01-08 19:30:17.803038,2023-01-08 19:32:20.728820,0 days 00:02:02.925782,7,COMPLETE
15,15,0.7609646532767933,2023-01-08 19:30:17.828457,2023-01-08 19:32:42.197043,0 days 00:02:24.368586,6,COMPLETE
16,16,0.7069921802718793,2023-01-08 19:31:55.636562,2023-01-08 19:34:08.130512,0 days 00:02:12.493950,2,COMPLETE
17,17,0.7069921802718793,2023-01-08 19:32:03.252042,2023-01-08 19:34:15.493571,0 days 00:02:12.241529,2,COMPLETE
18,18,0.7608578712565042,2023-01-08 19:32:15.322405,2023-01-08 19:34:27.936129,0 days 00:02:12.613724,5,COMPLETE
19,19,0.7607648965134614,2023-01-08 19:32:20.848555,2023-01-08 19:34:41.456823,0 days 00:02:20.608268,8,COMPLETE
20,20,0.7592971990314719,2023-01-08 19:32:42.485347,2023-01-08 19:35:01.887805,0 days 00:02:19.402458,7,COMPLETE
21,21,0.7607648965134614,2023-01-08 19:32:48.151597,2023-01-08 19:34:54.690826,0 days 00:02:06.539229,8,COMPLETE
22,22,0.7607648965134614,2023-01-08 19:32:59.985192,2023-01-08 19:35:13.246798,0 days 00:02:13.261606,8,COMPLETE
23,23,0.7592971990314719,2023-01-08 19:33:05.484229,2023-01-08 19:35:25.717613,0 days 00:02:20.233384,7,COMPLETE
24,24,0.7609646532767933,2023-01-08 19:34:08.278021,2023-01-08 19:36:33.779809,0 days 00:02:25.501788,6,COMPLETE
25,25,0.7660799808527654,2023-01-08 19:34:15.607438,2023-01-08 19:36:23.516653,0 days 00:02:07.909215,10,COMPLETE
26,26,0.7660799808527654,2023-01-08 19:34:28.043217,2023-01-08 19:36:48.506253,0 days 00:02:20.463036,10,COMPLETE
27,27,0.7660799808527654,2023-01-08 19:34:41.568798,2023-01-08 19:37:01.479055,0 days 00:02:19.910257,10,COMPLETE
28,28,0.7660799808527654,2023-01-08 19:34:54.832593,2023-01-08 19:37:08.995065,0 days 00:02:14.162472,10,COMPLETE
29,29,0.7660799808527654,2023-01-08 19:35:01.990752,2023-01-08 19:37:26.581600,0 days 00:02:24.590848,10,COMPLETE
30,30,0.7660799808527654,2023-01-08 19:35:13.374231,2023-01-08 19:37:20.681889,0 days 00:02:07.307658,10,COMPLETE
31,31,0.7660799808527654,2023-01-08 19:35:25.816302,2023-01-08 19:37:41.596685,0 days 00:02:15.780383,10,COMPLETE
32,32,,2023-01-08 19:36:23.627383,,,10,RUNNING
33,33,,2023-01-08 19:36:33.880291,,,10,RUNNING
34,34,,2023-01-08 19:36:48.625460,,,10,RUNNING
35,35,,2023-01-08 19:37:01.625868,,,10,RUNNING
36,36,,2023-01-08 19:37:09.118782,,,10,RUNNING
37,37,,2023-01-08 19:37:20.895154,,,9,RUNNING
38,38,,2023-01-08 19:37:26.687588,,,9,RUNNING
39,39,,2023-01-08 19:37:41.710847,,,9,RUNNING
