,number,value,datetime_start,datetime_complete,duration,params_n_features,state
0,0,0.5660655177919786,2023-01-08 18:46:43.122249,2023-01-08 18:47:43.502494,0 days 00:01:00.380245,580,COMPLETE
1,1,0.5672564290795915,2023-01-08 18:46:43.143350,2023-01-08 18:47:48.612149,0 days 00:01:05.468799,435,COMPLETE
2,2,0.457674777537971,2023-01-08 18:46:43.166518,2023-01-08 18:47:13.725095,0 days 00:00:30.558577,155,COMPLETE
3,3,0.5622096245789334,2023-01-08 18:46:43.189402,2023-01-08 18:47:38.172285,0 days 00:00:54.982883,859,COMPLETE
4,4,0.5703497437396721,2023-01-08 18:46:43.212360,2023-01-08 18:47:31.985023,0 days 00:00:48.772663,609,COMPLETE
5,5,0.5583988476847507,2023-01-08 18:46:43.235927,2023-01-08 18:47:21.764330,0 days 00:00:38.528403,652,COMPLETE
6,6,0.5602191141939328,2023-01-08 18:46:43.259582,2023-01-08 18:47:54.881458,0 days 00:01:11.621876,575,COMPLETE
7,7,0.5637468208541898,2023-01-08 18:46:43.315743,2023-01-08 18:47:26.654301,0 days 00:00:43.338558,684,COMPLETE
8,8,0.5602242484253256,2023-01-08 18:47:13.820207,2023-01-08 18:48:05.653781,0 days 00:00:51.833574,990,COMPLETE
9,9,0.49773432049584587,2023-01-08 18:47:21.964015,2023-01-08 18:48:07.855031,0 days 00:00:45.891016,185,COMPLETE
10,10,0.5701961437646802,2023-01-08 18:47:26.774684,2023-01-08 18:48:20.417366,0 days 00:00:53.642682,776,COMPLETE
11,11,0.5585825463677936,2023-01-08 18:47:32.068821,2023-01-08 18:48:27.527565,0 days 00:00:55.458744,833,COMPLETE
12,12,0.3508880485226654,2023-01-08 18:47:38.351860,2023-01-08 18:48:20.080591,0 days 00:00:41.728731,58,COMPLETE
13,13,0.5386533845066356,2023-01-08 18:47:43.602386,2023-01-08 18:48:31.996293,0 days 00:00:48.393907,304,COMPLETE
14,14,0.5700124863913627,2023-01-08 18:47:48.790674,2023-01-08 18:48:42.001552,0 days 00:00:53.210878,700,COMPLETE
15,15,0.5598261996979892,2023-01-08 18:47:54.965742,2023-01-08 18:48:49.609550,0 days 00:00:54.643808,753,COMPLETE
16,16,0.5631634123786732,2023-01-08 18:48:05.887601,2023-01-08 18:48:58.697992,0 days 00:00:52.810391,661,COMPLETE
17,17,0.5553887793104386,2023-01-08 18:48:07.937756,2023-01-08 18:49:03.471246,0 days 00:00:55.533490,359,COMPLETE
18,18,0.5571342317869581,2023-01-08 18:48:20.366266,2023-01-08 18:49:15.297105,0 days 00:00:54.930839,406,COMPLETE
19,19,0.5494651143185528,2023-01-08 18:48:20.589859,2023-01-08 18:49:10.306802,0 days 00:00:49.716943,418,COMPLETE
20,20,0.5522230967422417,2023-01-08 18:48:27.723108,2023-01-08 18:49:20.143096,0 days 00:00:52.419988,407,COMPLETE
21,21,0.5576593574909927,2023-01-08 18:48:32.094910,2023-01-08 18:49:27.714872,0 days 00:00:55.619962,782,COMPLETE
22,22,0.5571342317869581,2023-01-08 18:48:42.222336,2023-01-08 18:49:34.459237,0 days 00:00:52.236901,406,COMPLETE
23,23,0.5610976693123285,2023-01-08 18:48:49.690155,2023-01-08 18:49:42.497953,0 days 00:00:52.807798,442,COMPLETE
24,24,0.5500619188741723,2023-01-08 18:48:58.935056,2023-01-08 18:49:50.383662,0 days 00:00:51.448606,444,COMPLETE
25,25,0.5610976693123285,2023-01-08 18:49:03.562540,2023-01-08 18:49:55.846402,0 days 00:00:52.283862,442,COMPLETE
26,26,0.5566703426568742,2023-01-08 18:49:10.435752,2023-01-08 18:50:05.767505,0 days 00:00:55.331753,979,COMPLETE
27,27,0.5530169445894462,2023-01-08 18:49:15.391621,2023-01-08 18:50:12.356010,0 days 00:00:56.964389,961,COMPLETE
28,28,0.5639329255333949,2023-01-08 18:49:20.251901,2023-01-08 18:50:18.978189,0 days 00:00:58.726288,803,COMPLETE
29,29,0.5648366317251053,2023-01-08 18:49:27.794089,2023-01-08 18:50:26.010835,0 days 00:00:58.216746,960,COMPLETE
30,30,0.5525384064812723,2023-01-08 18:49:34.539657,2023-01-08 18:50:32.912080,0 days 00:00:58.372423,950,COMPLETE
31,31,0.5511683066357177,2023-01-08 18:49:42.594722,2023-01-08 18:50:40.743327,0 days 00:00:58.148605,933,COMPLETE
32,32,0.5646928026814843,2023-01-08 18:49:50.494222,2023-01-08 18:50:48.292978,0 days 00:00:57.798756,922,COMPLETE
33,33,0.5588286292607635,2023-01-08 18:49:55.941453,2023-01-08 18:50:55.394908,0 days 00:00:59.453455,927,COMPLETE
34,34,0.5576564210325652,2023-01-08 18:50:05.870445,2023-01-08 18:51:03.075950,0 days 00:00:57.205505,533,COMPLETE
35,35,0.553646755419042,2023-01-08 18:50:12.596475,2023-01-08 18:51:08.932472,0 days 00:00:56.335997,536,COMPLETE
36,36,0.5621466133038866,2023-01-08 18:50:19.233391,2023-01-08 18:51:14.882352,0 days 00:00:55.648961,545,COMPLETE
37,37,0.5582085470866097,2023-01-08 18:50:26.153658,2023-01-08 18:51:22.683431,0 days 00:00:56.529773,584,COMPLETE
38,38,0.5663202676751954,2023-01-08 18:50:33.024534,2023-01-08 18:51:28.856844,0 days 00:00:55.832310,563,COMPLETE
39,39,0.5638719981336864,2023-01-08 18:50:40.830966,2023-01-08 18:51:36.337079,0 days 00:00:55.506113,526,COMPLETE
40,40,0.5638719981336864,2023-01-08 18:50:48.574640,2023-01-08 18:51:43.298012,0 days 00:00:54.723372,526,COMPLETE
41,41,0.5625107546356954,2023-01-08 18:50:55.490394,2023-01-08 18:51:51.445104,0 days 00:00:55.954710,528,COMPLETE
42,42,0.5671608840145888,2023-01-08 18:51:03.215841,2023-01-08 18:51:58.541395,0 days 00:00:55.325554,701,COMPLETE
43,43,0.5567105252433854,2023-01-08 18:51:09.112973,2023-01-08 18:52:05.397052,0 days 00:00:56.284079,713,COMPLETE
44,44,0.5651855853028277,2023-01-08 18:51:14.968536,2023-01-08 18:52:12.014935,0 days 00:00:57.046399,710,COMPLETE
45,45,0.5616861383545524,2023-01-08 18:51:22.983692,2023-01-08 18:52:19.104877,0 days 00:00:56.121185,720,COMPLETE
46,46,0.5753395128685066,2023-01-08 18:51:28.952153,2023-01-08 18:52:26.137428,0 days 00:00:57.185275,717,COMPLETE
47,47,0.5651855853028277,2023-01-08 18:51:36.425227,2023-01-08 18:52:33.977359,0 days 00:00:57.552132,710,COMPLETE
48,48,0.5532383630571756,2023-01-08 18:51:43.384628,2023-01-08 18:52:41.372625,0 days 00:00:57.987997,727,COMPLETE
49,49,0.5756873930064867,2023-01-08 18:51:51.764358,2023-01-08 18:52:49.192484,0 days 00:00:57.428126,612,COMPLETE
50,50,0.5593510257348979,2023-01-08 18:51:58.830600,2023-01-08 18:52:56.086554,0 days 00:00:57.255954,743,COMPLETE
51,51,0.5447320557477189,2023-01-08 18:52:05.516550,2023-01-08 18:53:02.482547,0 days 00:00:56.965997,621,COMPLETE
52,52,0.5638919697977832,2023-01-08 18:52:12.219425,2023-01-08 18:53:08.797095,0 days 00:00:56.577670,667,COMPLETE
53,53,0.5535476616892275,2023-01-08 18:52:19.214340,2023-01-08 18:53:15.731861,0 days 00:00:56.517521,613,COMPLETE
54,54,0.5545851197504021,2023-01-08 18:52:26.237337,2023-01-08 18:53:22.497217,0 days 00:00:56.259880,618,COMPLETE
55,55,0.5547288754309685,2023-01-08 18:52:34.251185,2023-01-08 18:53:30.848108,0 days 00:00:56.596923,626,COMPLETE
56,56,0.571618666337542,2023-01-08 18:52:41.449720,2023-01-08 18:53:38.105054,0 days 00:00:56.655334,624,COMPLETE
57,57,0.5447320557477189,2023-01-08 18:52:49.283035,2023-01-08 18:53:45.257467,0 days 00:00:55.974432,621,COMPLETE
58,58,0.5703497437396721,2023-01-08 18:52:56.281402,2023-01-08 18:53:51.548553,0 days 00:00:55.267151,609,COMPLETE
59,59,0.5447320557477189,2023-01-08 18:53:02.602255,2023-01-08 18:53:57.917093,0 days 00:00:55.314838,621,COMPLETE
60,60,0.5617833540503834,2023-01-08 18:53:08.893848,2023-01-08 18:54:04.482166,0 days 00:00:55.588318,619,COMPLETE
61,61,0.5633606654163892,2023-01-08 18:53:15.816560,2023-01-08 18:54:12.321573,0 days 00:00:56.505013,873,COMPLETE
62,62,0.5547959833413605,2023-01-08 18:53:22.585566,2023-01-08 18:54:17.644418,0 days 00:00:55.058852,491,COMPLETE
63,63,0.5614698218092393,2023-01-08 18:53:30.945314,2023-01-08 18:54:28.416516,0 days 00:00:57.471202,828,COMPLETE
64,64,0.5645971812721545,2023-01-08 18:53:38.371792,2023-01-08 18:54:35.437337,0 days 00:00:57.065545,864,COMPLETE
65,65,0.5380367719793467,2023-01-08 18:53:45.418671,2023-01-08 18:54:42.734317,0 days 00:00:57.315646,882,COMPLETE
66,66,0.5562860968722791,2023-01-08 18:53:51.787743,2023-01-08 18:54:48.959220,0 days 00:00:57.171477,849,COMPLETE
67,67,0.5617397520136167,2023-01-08 18:53:58.107004,2023-01-08 18:54:54.371718,0 days 00:00:56.264714,483,COMPLETE
68,68,0.5579669702251027,2023-01-08 18:54:04.580174,2023-01-08 18:55:01.949819,0 days 00:00:57.369645,837,COMPLETE
69,69,0.5576593574909927,2023-01-08 18:54:12.427030,2023-01-08 18:55:08.402176,0 days 00:00:55.975146,782,COMPLETE
70,70,0.5535039811244586,2023-01-08 18:54:17.727182,2023-01-08 18:55:15.381755,0 days 00:00:57.654573,764,COMPLETE
71,71,0.5708498571057505,2023-01-08 18:54:28.646094,2023-01-08 18:55:23.869985,0 days 00:00:55.223891,485,COMPLETE
72,72,0.5729351187457693,2023-01-08 18:54:35.535024,2023-01-08 18:55:32.459828,0 days 00:00:56.924804,783,COMPLETE
73,73,0.564255217810478,2023-01-08 18:54:42.854916,2023-01-08 18:55:38.932387,0 days 00:00:56.077471,779,COMPLETE
74,74,0.5574708847006645,2023-01-08 18:54:49.076840,2023-01-08 18:55:45.759197,0 days 00:00:56.682357,774,COMPLETE
75,75,0.5576593574909927,2023-01-08 18:54:54.645245,2023-01-08 18:55:52.255880,0 days 00:00:57.610635,782,COMPLETE
76,76,0.5574708847006645,2023-01-08 18:55:02.051632,2023-01-08 18:55:58.843776,0 days 00:00:56.792144,774,COMPLETE
77,77,0.5583541333635679,2023-01-08 18:55:08.513676,2023-01-08 18:56:05.248421,0 days 00:00:56.734745,670,COMPLETE
78,78,0.5344141429524035,2023-01-08 18:55:15.466414,2023-01-08 18:56:09.432427,0 days 00:00:53.966013,349,COMPLETE
79,79,0.5527466763040916,2023-01-08 18:55:23.956099,2023-01-08 18:56:20.022648,0 days 00:00:56.066549,675,COMPLETE
80,80,0.5538694420162896,2023-01-08 18:55:32.657656,2023-01-08 18:56:28.089086,0 days 00:00:55.431430,672,COMPLETE
81,81,0.575889636916145,2023-01-08 18:55:39.159396,2023-01-08 18:56:34.393788,0 days 00:00:55.234392,664,COMPLETE
82,82,0.5589188343712628,2023-01-08 18:55:45.971627,2023-01-08 18:56:40.481131,0 days 00:00:54.509504,582,COMPLETE
83,83,0.5539299250509698,2023-01-08 18:55:52.555345,2023-01-08 18:56:48.729781,0 days 00:00:56.174436,676,COMPLETE
84,84,0.5650812514199637,2023-01-08 18:55:59.020959,2023-01-08 18:56:54.424015,0 days 00:00:55.403056,583,COMPLETE
85,85,0.5589188343712628,2023-01-08 18:56:05.439406,2023-01-08 18:57:00.320424,0 days 00:00:54.881018,582,COMPLETE
86,86,0.566365645652974,2023-01-08 18:56:09.515315,2023-01-08 18:57:06.725628,0 days 00:00:57.210313,569,COMPLETE
87,87,0.5650812514199637,2023-01-08 18:56:20.110068,2023-01-08 18:57:16.528537,0 days 00:00:56.418469,583,COMPLETE
