,number,value,datetime_start,datetime_complete,duration,params_n_clusters,params_normalization,state
0,0,,2023-01-15 18:04:25.682640,,,646.0,,RUNNING
1,1,,2023-01-15 18:04:25.708118,,,45.0,,RUNNING
2,2,0.7764996178716294,2023-01-15 18:04:25.731206,2023-01-15 18:04:46.371128,0 days 00:00:20.639922,63.0,,COMPLETE
3,3,,2023-01-15 18:04:25.754970,,,75.0,,RUNNING
4,4,0.8317316295314452,2023-01-15 18:04:25.754447,2023-01-15 18:04:41.201327,0 days 00:00:15.446880,535.0,,COMPLETE
5,5,0.8346805883665201,2023-01-15 18:04:25.792654,2023-01-15 18:05:18.745025,0 days 00:00:52.952371,928.0,,COMPLETE
6,6,,2023-01-15 18:04:25.814825,,,774.0,,RUNNING
7,7,,2023-01-15 18:04:25.838428,,,333.0,,RUNNING
8,8,,2023-01-15 18:04:41.396423,,,949.0,,RUNNING
9,9,,2023-01-15 18:04:46.634697,,,972.0,,RUNNING
10,10,,2023-01-15 18:05:19.184761,,,580.0,,RUNNING
11,11,,2023-01-15 18:09:25.901607,,,,power,RUNNING
12,12,,2023-01-15 18:09:25.924008,,,,power,RUNNING
13,13,,2023-01-15 18:09:25.945898,,,,none,RUNNING
14,14,0.8450532758348291,2023-01-15 18:09:25.968294,2023-01-15 18:09:55.324418,0 days 00:00:29.356124,,l2,COMPLETE
15,15,,2023-01-15 18:09:25.992321,,,,none,RUNNING
16,16,,2023-01-15 18:09:26.014691,,,,power,RUNNING
17,17,,2023-01-15 18:09:26.038763,,,,none,RUNNING
18,18,,2023-01-15 18:09:26.063814,,,,power,RUNNING
19,19,0.8460959243319872,2023-01-15 18:14:55.173497,2023-01-15 18:15:24.498306,0 days 00:00:29.324809,,l2,COMPLETE
20,20,0.8413940058851781,2023-01-15 18:14:55.196825,2023-01-15 18:16:57.746211,0 days 00:02:02.549386,,l2,COMPLETE
21,21,0.8257150080427126,2023-01-15 18:14:55.221259,2023-01-15 18:16:38.875066,0 days 00:01:43.653807,,none,COMPLETE
22,22,0.8277378738422296,2023-01-15 18:14:55.246234,2023-01-15 18:15:41.922725,0 days 00:00:46.676491,,none,COMPLETE
23,23,0.8405175705876358,2023-01-15 18:14:55.271168,2023-01-15 18:16:19.671881,0 days 00:01:24.400713,,l2,COMPLETE
24,24,0.8342969001323821,2023-01-15 18:14:55.296224,2023-01-15 18:16:01.185281,0 days 00:01:05.889057,,none,COMPLETE
25,25,0.8233424895658976,2023-01-15 18:14:55.321085,2023-01-15 18:17:16.543569,0 days 00:02:21.222484,,none,COMPLETE
26,26,0.8454786545245,2023-01-15 18:14:55.724685,2023-01-15 18:17:35.195650,0 days 00:02:39.470965,,l2,COMPLETE
27,27,0.8248149569082557,2023-01-15 18:15:24.726822,2023-01-15 18:17:54.205716,0 days 00:02:29.478894,,none,COMPLETE
28,28,0.826754725932313,2023-01-15 18:15:42.501104,2023-01-15 18:18:13.296458,0 days 00:02:30.795354,,none,COMPLETE
