,number,value,datetime_start,datetime_complete,duration,params_C,params_gamma,params_kernel,params_probability,state
0,0,0.8090223109905603,2023-01-15 19:17:06.229049,2023-01-15 19:19:13.330491,0 days 00:02:07.101442,31.976589820870657,0.4436157774706427,linear,True,COMPLETE
1,1,0.8424880540247166,2023-01-15 19:17:06.249696,2023-01-15 19:18:50.259985,0 days 00:01:44.010289,0.016442112585757406,90.81589291064836,linear,True,COMPLETE
2,2,0.844924250487801,2023-01-15 19:17:06.272951,2023-01-15 19:18:31.847130,0 days 00:01:25.574179,0.01753743187407021,291.0647954271999,linear,False,COMPLETE
3,3,0.0,2023-01-15 19:17:06.295250,2023-01-15 19:17:35.201201,0 days 00:00:28.905951,310.5322536704109,199.92443286840495,histogram_intersection,False,COMPLETE
4,4,0.0,2023-01-15 19:17:06.318771,2023-01-15 19:19:29.607842,0 days 00:02:23.289071,10.446733152960489,442.2334289759187,histogram_intersection,False,COMPLETE
5,5,0.125,2023-01-15 19:17:06.339076,2023-01-15 19:18:13.460506,0 days 00:01:07.121430,0.0013350449725083413,0.2052028921247975,RBF,True,COMPLETE
6,6,0.0,2023-01-15 19:17:06.361801,2023-01-15 19:17:53.628601,0 days 00:00:47.266800,0.0031024011887220296,0.11092632623036118,histogram_intersection,True,COMPLETE
7,7,0.8528703806457051,2023-01-15 19:17:06.422169,2023-01-15 19:19:48.849349,0 days 00:02:42.427180,8.134244794678429,0.0045105809738622115,RBF,True,COMPLETE
8,8,0.0,2023-01-15 19:17:35.446228,2023-01-15 19:20:08.065415,0 days 00:02:32.619187,14.268507825904239,1.6165189860808455,histogram_intersection,True,COMPLETE
9,9,0.8310926131217302,2023-01-15 19:17:53.843752,2023-01-15 19:20:26.405418,0 days 00:02:32.561666,1.5158868011503557,49.3492972761716,linear,False,COMPLETE
10,10,0.0,2023-01-15 19:18:13.644452,2023-01-15 19:20:46.413910,0 days 00:02:32.769458,12.273505208381541,214.56967165623925,histogram_intersection,False,COMPLETE
11,11,0.826476474162909,2023-01-15 19:18:32.025988,2023-01-15 19:21:05.543467,0 days 00:02:33.517479,0.0023565708092674366,45.02334840575088,linear,True,COMPLETE
12,12,0.125,2023-01-15 19:18:50.557560,2023-01-15 19:21:25.387564,0 days 00:02:34.830004,0.2785050624749361,867.6330110602191,RBF,True,COMPLETE
13,13,0.125,2023-01-15 19:19:13.734174,2023-01-15 19:21:44.388088,0 days 00:02:30.653914,0.048741255489344985,0.47227723330609794,RBF,True,COMPLETE
14,14,0.125,2023-01-15 19:19:29.790452,2023-01-15 19:22:03.558802,0 days 00:02:33.768350,0.008839058323829113,2.6162861008133484,RBF,True,COMPLETE
15,15,0.0,2023-01-15 19:19:49.255578,2023-01-15 19:22:22.297660,0 days 00:02:33.042082,991.4970478454767,100.32667007061319,histogram_intersection,False,COMPLETE
16,16,0.490136391988558,2023-01-15 19:20:08.238189,2023-01-15 19:22:42.121095,0 days 00:02:33.882906,0.16715413164727325,0.028273984494255135,RBF,True,COMPLETE
17,17,0.8436538249488222,2023-01-15 19:20:26.975228,2023-01-15 19:23:00.869537,0 days 00:02:33.894309,990.4940146725764,0.0018460674354153774,RBF,True,COMPLETE
18,18,0.125,2023-01-15 19:20:46.674805,2023-01-15 19:23:19.283939,0 days 00:02:32.609134,0.08275307457202008,0.00160654444689236,RBF,False,COMPLETE
