,number,value,datetime_start,datetime_complete,duration,params_n_neighbors,state
0,0,,2023-01-07 13:41:23.218855,2023-01-07 13:41:23.439311,0 days 00:00:00.220456,,FAIL
1,1,,2023-01-07 13:41:23.243639,2023-01-07 13:41:23.875000,0 days 00:00:00.631361,,FAIL
2,2,,2023-01-07 13:41:23.270481,2023-01-07 13:41:23.320063,0 days 00:00:00.049582,,FAIL
3,3,,2023-01-07 13:41:23.295353,2023-01-07 13:41:23.665460,0 days 00:00:00.370107,,FAIL
4,4,,2023-01-07 13:41:23.318520,2023-01-07 13:41:23.554193,0 days 00:00:00.235673,,FAIL
5,5,,2023-01-07 13:41:23.437917,2023-01-07 13:41:23.962571,0 days 00:00:00.524654,,FAIL
6,6,,2023-01-07 13:41:23.642732,2023-01-07 13:41:23.778089,0 days 00:00:00.135357,,FAIL
7,7,,2023-01-07 13:41:23.664897,2023-01-07 13:41:24.055474,0 days 00:00:00.390577,,FAIL
8,8,0.7688541750805766,2023-01-07 13:43:57.078363,2023-01-07 13:46:44.833820,0 days 00:02:47.755457,8.0,COMPLETE
9,9,,2023-01-07 13:43:57.080515,2023-01-07 13:49:58.983874,0 days 00:06:01.903359,5.0,FAIL
10,10,,2023-01-07 13:43:57.122782,2023-01-07 13:49:59.270778,0 days 00:06:02.147996,1.0,FAIL
11,11,0.7641307562268167,2023-01-07 13:43:57.146735,2023-01-07 13:49:08.731879,0 days 00:05:11.585144,3.0,COMPLETE
12,12,,2023-01-07 13:43:57.170707,2023-01-07 13:49:58.853940,0 days 00:06:01.683233,10.0,FAIL
13,13,,2023-01-07 13:43:57.194981,2023-01-07 13:49:58.970493,0 days 00:06:01.775512,3.0,FAIL
14,14,,2023-01-07 13:43:57.217471,2023-01-07 13:49:58.749000,0 days 00:06:01.531529,8.0,FAIL
15,15,0.764398285817854,2023-01-07 13:43:57.241269,2023-01-07 13:48:01.693422,0 days 00:04:04.452153,5.0,COMPLETE
16,16,,2023-01-07 13:46:45.282708,2023-01-07 13:49:59.283783,0 days 00:03:14.001075,8.0,FAIL
17,17,,2023-01-07 13:48:01.909038,2023-01-07 13:49:59.175755,0 days 00:01:57.266717,8.0,FAIL
18,18,,2023-01-07 13:49:08.956644,2023-01-07 13:50:00.709192,0 days 00:00:51.752548,7.0,FAIL
19,19,0.7688541750805766,2023-01-07 13:51:08.965953,2023-01-07 13:54:08.092327,0 days 00:02:59.126374,8.0,COMPLETE
20,20,,2023-01-07 13:51:08.987854,2023-01-07 13:55:46.599129,0 days 00:04:37.611275,2.0,FAIL
21,21,0.7652956253045813,2023-01-07 13:51:09.011043,2023-01-07 13:55:18.546440,0 days 00:04:09.535397,6.0,COMPLETE
22,22,,2023-01-07 13:51:09.034464,2023-01-07 13:55:46.205924,0 days 00:04:37.171460,1.0,FAIL
23,23,,2023-01-07 13:51:09.058979,2023-01-07 13:55:46.181083,0 days 00:04:37.122104,10.0,FAIL
24,24,,2023-01-07 13:51:09.080459,2023-01-07 13:55:46.370394,0 days 00:04:37.289935,4.0,FAIL
25,25,,2023-01-07 13:51:09.104721,2023-01-07 13:55:46.520527,0 days 00:04:37.415806,2.0,FAIL
26,26,,2023-01-07 13:51:09.129977,2023-01-07 13:55:46.193340,0 days 00:04:37.063363,10.0,FAIL
27,27,,2023-01-07 13:54:08.347842,2023-01-07 13:55:46.447398,0 days 00:01:38.099556,1.0,FAIL
28,28,,2023-01-07 13:55:18.679957,,,6.0,RUNNING
29,29,0.7157779151276054,2023-01-07 13:56:33.236362,2023-01-07 14:05:44.659345,0 days 00:09:11.422983,2.0,COMPLETE
30,30,0.742752545939686,2023-01-07 13:56:33.260541,2023-01-07 14:00:46.599571,0 days 00:04:13.339030,1.0,COMPLETE
31,31,0.7593369715474386,2023-01-07 13:56:33.283827,2023-01-07 14:06:48.742574,0 days 00:10:15.458747,4.0,COMPLETE
32,32,0.7157779151276054,2023-01-07 13:56:33.309281,2023-01-07 13:59:34.604150,0 days 00:03:01.294869,2.0,COMPLETE
33,33,0.742752545939686,2023-01-07 13:56:33.331595,2023-01-07 14:04:38.624317,0 days 00:08:05.292722,1.0,COMPLETE
34,34,0.7157779151276054,2023-01-07 13:56:33.354644,2023-01-07 14:01:50.275456,0 days 00:05:16.920812,2.0,COMPLETE
35,35,0.7641307562268167,2023-01-07 13:56:33.383854,2023-01-07 14:03:02.593075,0 days 00:06:29.209221,3.0,COMPLETE
36,36,0.742752545939686,2023-01-07 13:56:33.385764,2023-01-07 14:07:57.904370,0 days 00:11:24.518606,1.0,COMPLETE
37,37,0.742752545939686,2023-01-07 13:59:35.094361,2023-01-07 14:09:30.207817,0 days 00:09:55.113456,1.0,COMPLETE
38,38,0.7641307562268167,2023-01-07 14:00:46.768619,2023-01-07 14:10:48.561352,0 days 00:10:01.792733,3.0,COMPLETE
39,39,0.7743032169894642,2023-01-07 14:01:50.410973,2023-01-07 14:11:54.996253,0 days 00:10:04.585280,10.0,COMPLETE
40,40,0.7652956253045813,2023-01-07 14:03:02.744957,2023-01-07 14:13:01.258511,0 days 00:09:58.513554,6.0,COMPLETE
41,41,0.7743032169894642,2023-01-07 14:04:38.761667,2023-01-07 14:14:39.440209,0 days 00:10:00.678542,10.0,COMPLETE
