,number,value,datetime_start,datetime_complete,duration,params_dimensionality_reduction,params_metric,params_n_clusters,params_n_components,params_n_features,params_n_neighbors,params_patch_size,params_step_size,state
0,0,,2023-01-07 17:56:26.717022,2023-01-07 17:57:42.406744,0 days 00:01:15.689722,PCA,minkowski,128,43,197,2,1,38,FAIL
1,1,,2023-01-07 17:56:26.745443,2023-01-07 17:57:42.419402,0 days 00:01:15.673959,PCA,chebyshev,128,48,152,3,1,24,FAIL
2,2,,2023-01-07 17:56:26.773354,2023-01-07 17:57:42.299645,0 days 00:01:15.526291,PCA,chebyshev,512,34,120,4,1,28,FAIL
3,3,,2023-01-07 17:56:26.798414,2023-01-07 17:57:23.311944,0 days 00:00:56.513530,LDA,minkowski,256,82,297,7,1,12,FAIL
4,4,,2023-01-07 17:56:26.799242,2023-01-07 17:57:42.191948,0 days 00:01:15.392706,LDA,euclidean,1024,52,275,9,1,60,FAIL
5,5,,2023-01-07 17:56:26.838968,2023-01-07 17:57:42.286400,0 days 00:01:15.447432,PCA,minkowski,512,71,140,8,1,35,FAIL
6,6,0.7623686741306731,2023-01-07 17:56:26.864025,2023-01-07 17:59:03.855331,0 days 00:02:36.991306,PCA,manhattan,512,47,125,4,2,55,COMPLETE
7,7,,2023-01-07 17:56:26.864604,2023-01-07 17:59:10.451543,0 days 00:02:43.586939,LDA,manhattan,1024,72,107,7,2,55,FAIL
8,8,,2023-01-07 18:04:50.163587,,,,manhattan,128,42,169,6,1,33,RUNNING
9,9,,2023-01-07 18:04:50.192637,,,,chebyshev,128,57,157,2,2,10,RUNNING
10,10,,2023-01-07 18:04:50.214425,,,,chebyshev,512,19,289,8,1,12,RUNNING
11,11,,2023-01-07 18:04:50.236723,,,,minkowski,128,32,236,2,3,63,RUNNING
12,12,,2023-01-07 18:04:50.237132,,,,euclidean,512,5,236,5,2,47,RUNNING
13,13,,2023-01-07 18:04:50.237640,,,,minkowski,512,34,253,1,3,62,RUNNING
14,14,,2023-01-07 18:04:50.295824,,,,manhattan,64,93,199,5,3,72,RUNNING
15,15,,2023-01-07 18:04:50.320118,,,,manhattan,256,37,108,9,1,50,RUNNING
16,16,0.7686298714814604,2023-01-07 18:06:27.884586,2023-01-07 18:09:44.970668,0 days 00:03:17.086082,PCA,minkowski,1024,29,175,9,2,8,COMPLETE
17,17,,2023-01-07 18:06:27.909746,2023-01-07 18:07:55.051673,0 days 00:01:27.141927,LDA,euclidean,512,48,153,10,1,45,FAIL
18,18,0.7439243683137443,2023-01-07 18:06:27.934624,2023-01-07 18:07:53.986410,0 days 00:01:26.051786,PCA,manhattan,256,28,146,4,1,28,COMPLETE
19,19,,2023-01-07 18:06:27.959814,2023-01-07 18:09:27.719642,0 days 00:02:59.759828,LDA,chebyshev,64,89,269,10,2,38,FAIL
20,20,0.6956597136085023,2023-01-07 18:06:27.985813,2023-01-07 18:08:22.046637,0 days 00:01:54.060824,PCA,chebyshev,128,59,237,1,1,70,COMPLETE
21,21,,2023-01-07 18:06:28.011478,2023-01-07 18:09:25.828405,0 days 00:02:57.816927,LDA,chebyshev,256,73,220,8,2,58,FAIL
22,22,,2023-01-07 18:06:28.036504,2023-01-07 18:09:37.789424,0 days 00:03:09.752920,LDA,euclidean,256,89,190,3,3,68,FAIL
23,23,0.6856692897033877,2023-01-07 18:06:28.060325,2023-01-07 18:08:27.324532,0 days 00:01:59.264207,PCA,chebyshev,512,41,186,2,1,32,COMPLETE
24,24,0.7084777843647142,2023-01-07 18:07:54.176710,2023-01-07 18:09:38.489286,0 days 00:01:44.312576,PCA,chebyshev,64,36,222,10,1,23,COMPLETE
25,25,0.7308104912246937,2023-01-07 18:11:50.126409,2023-01-07 18:12:50.508240,0 days 00:01:00.381831,PCA,chebyshev,256,11,179,10,1,37,COMPLETE
26,26,,2023-01-07 18:11:50.156815,2023-01-07 18:14:35.815853,0 days 00:02:45.659038,LDA,minkowski,64,21,288,4,3,15,FAIL
27,27,0.7660620423582922,2023-01-07 18:11:50.180502,2023-01-07 18:14:31.638367,0 days 00:02:41.457865,PCA,euclidean,256,48,107,9,2,40,COMPLETE
28,28,,2023-01-07 18:11:50.206531,2023-01-07 18:14:31.513734,0 days 00:02:41.307203,LDA,manhattan,128,9,207,2,3,7,FAIL
29,29,,2023-01-07 18:11:50.232638,2023-01-07 18:15:02.228643,0 days 00:03:11.996005,LDA,minkowski,1024,72,115,1,2,29,FAIL
30,30,,2023-01-07 18:11:50.233172,2023-01-07 18:12:31.477482,0 days 00:00:41.244310,LDA,chebyshev,64,49,151,6,1,8,FAIL
31,31,0.7423764356374926,2023-01-07 18:11:50.274768,2023-01-07 18:16:01.895714,0 days 00:04:11.620946,PCA,minkowski,1024,5,109,5,3,13,COMPLETE
32,32,,2023-01-07 18:11:50.301912,2023-01-07 18:12:52.099230,0 days 00:01:01.797318,LDA,chebyshev,128,66,259,5,1,18,FAIL
