,number,value,datetime_start,datetime_complete,duration,params_n_features,params_patch_size,params_step_size,state
0,0,0.7368179975354875,2023-01-08 18:58:29.759482,2023-01-08 18:59:18.360192,0 days 00:00:48.600710,211,1,36,COMPLETE
1,1,0.7411823778020861,2023-01-08 18:58:29.781322,2023-01-08 19:00:43.919926,0 days 00:02:14.138604,124,3,74,COMPLETE
2,2,0.7368179975354875,2023-01-08 18:58:29.807081,2023-01-08 18:59:23.122459,0 days 00:00:53.315378,207,1,18,COMPLETE
3,3,0.7411823778020861,2023-01-08 18:58:29.829795,2023-01-08 19:00:32.968708,0 days 00:02:03.138913,179,3,20,COMPLETE
4,4,0.6214397994312824,2023-01-08 18:58:29.852980,2023-01-08 18:59:08.217306,0 days 00:00:38.364326,263,2,3,COMPLETE
5,5,0.7411823778020861,2023-01-08 18:58:29.876753,2023-01-08 19:00:49.460556,0 days 00:02:19.583803,251,3,45,COMPLETE
6,6,0.7386303097131484,2023-01-08 18:58:29.900939,2023-01-08 18:59:59.609496,0 days 00:01:29.708557,154,2,44,COMPLETE
7,7,0.7368179975354875,2023-01-08 18:58:29.925183,2023-01-08 18:59:28.603219,0 days 00:00:58.678036,264,1,37,COMPLETE
8,8,0.7368179975354875,2023-01-08 18:59:08.315141,2023-01-08 19:00:03.425068,0 days 00:00:55.109927,201,1,22,COMPLETE
9,9,0.7411823778020861,2023-01-08 18:59:18.442121,2023-01-08 19:01:33.950101,0 days 00:02:15.507980,272,3,33,COMPLETE
10,10,0.7411823778020861,2023-01-08 18:59:23.215004,2023-01-08 19:01:41.900843,0 days 00:02:18.685839,243,3,25,COMPLETE
11,11,0.7386303097131484,2023-01-08 18:59:28.690202,2023-01-08 19:00:56.856103,0 days 00:01:28.165901,191,2,28,COMPLETE
12,12,0.7048642675191095,2023-01-08 18:59:59.731168,2023-01-08 19:00:56.833267,0 days 00:00:57.102099,293,1,6,COMPLETE
13,13,0.7411823778020861,2023-01-08 19:00:03.516255,2023-01-08 19:02:22.374718,0 days 00:02:18.858463,156,3,74,COMPLETE
14,14,0.6045606044150488,2023-01-08 19:00:33.057046,2023-01-08 19:01:20.957387,0 days 00:00:47.900341,104,3,3,COMPLETE
15,15,0.7411823778020861,2023-01-08 19:00:44.230494,2023-01-08 19:02:48.779200,0 days 00:02:04.548706,254,3,45,COMPLETE
16,16,0.7048642675191095,2023-01-08 19:00:49.545289,2023-01-08 19:01:42.184382,0 days 00:00:52.639093,163,1,6,COMPLETE
17,17,0.7411823778020861,2023-01-08 19:00:56.992328,2023-01-08 19:03:10.026199,0 days 00:02:13.033871,101,3,75,COMPLETE
18,18,0.7411823778020861,2023-01-08 19:00:57.023735,2023-01-08 19:03:03.530711,0 days 00:02:06.506976,109,3,75,COMPLETE
19,19,0.7411823778020861,2023-01-08 19:01:21.040979,2023-01-08 19:03:23.755587,0 days 00:02:02.714608,113,3,74,COMPLETE
20,20,0.7411823778020861,2023-01-08 19:01:34.042499,2023-01-08 19:03:38.830022,0 days 00:02:04.787523,122,3,75,COMPLETE
21,21,0.7411823778020861,2023-01-08 19:01:42.031081,2023-01-08 19:03:46.698652,0 days 00:02:04.667571,131,3,74,COMPLETE
22,22,0.7411823778020861,2023-01-08 19:01:42.272024,2023-01-08 19:03:51.831547,0 days 00:02:09.559523,100,3,72,COMPLETE
23,23,0.7411823778020861,2023-01-08 19:02:22.453851,2023-01-08 19:04:31.483101,0 days 00:02:09.029250,108,3,69,COMPLETE
24,24,0.7386303097131484,2023-01-08 19:02:48.865554,2023-01-08 19:04:26.159721,0 days 00:01:37.294167,121,2,73,COMPLETE
25,25,0.7386303097131484,2023-01-08 19:03:03.614848,2023-01-08 19:04:36.964079,0 days 00:01:33.349231,105,2,74,COMPLETE
26,26,0.7386303097131484,2023-01-08 19:03:10.120241,2023-01-08 19:04:42.909860,0 days 00:01:32.789619,296,2,55,COMPLETE
27,27,0.7386303097131484,2023-01-08 19:03:23.847100,2023-01-08 19:04:59.497926,0 days 00:01:35.650826,296,2,57,COMPLETE
28,28,0.7386303097131484,2023-01-08 19:03:38.930497,2023-01-08 19:05:14.993957,0 days 00:01:36.063460,230,2,61,COMPLETE
29,29,0.7386303097131484,2023-01-08 19:03:47.031876,2023-01-08 19:05:26.876088,0 days 00:01:39.844212,233,2,61,COMPLETE
30,30,0.7386303097131484,2023-01-08 19:03:51.923467,2023-01-08 19:05:21.893125,0 days 00:01:29.969658,132,2,63,COMPLETE
31,31,0.7386303097131484,2023-01-08 19:04:26.278938,2023-01-08 19:06:00.056377,0 days 00:01:33.777439,137,2,62,COMPLETE
32,32,0.7386303097131484,2023-01-08 19:04:31.573474,2023-01-08 19:06:07.064825,0 days 00:01:35.491351,148,2,58,COMPLETE
33,33,0.7386303097131484,2023-01-08 19:04:37.054921,2023-01-08 19:06:12.622878,0 days 00:01:35.567957,221,2,61,COMPLETE
34,34,0.7386303097131484,2023-01-08 19:04:43.011494,2023-01-08 19:06:22.773910,0 days 00:01:39.762416,150,2,63,COMPLETE
35,35,0.7411823778020861,2023-01-08 19:04:59.582952,2023-01-08 19:07:10.721682,0 days 00:02:11.138730,149,3,61,COMPLETE
36,36,0.7411823778020861,2023-01-08 19:05:15.093531,2023-01-08 19:07:29.431717,0 days 00:02:14.338186,218,3,65,COMPLETE
37,37,0.7411823778020861,2023-01-08 19:05:21.996661,2023-01-08 19:07:35.097564,0 days 00:02:13.100903,236,3,66,COMPLETE
38,38,0.7411823778020861,2023-01-08 19:05:26.973540,2023-01-08 19:07:24.842130,0 days 00:01:57.868590,132,3,67,COMPLETE
39,39,0.7411823778020861,2023-01-08 19:06:00.136730,2023-01-08 19:08:13.320758,0 days 00:02:13.184028,138,3,67,COMPLETE
40,40,0.7411823778020861,2023-01-08 19:06:07.177890,2023-01-08 19:08:04.784682,0 days 00:01:57.606792,173,3,67,COMPLETE
41,41,0.7411823778020861,2023-01-08 19:06:12.718634,2023-01-08 19:08:19.121299,0 days 00:02:06.402665,177,3,68,COMPLETE
42,42,0.7411823778020861,2023-01-08 19:06:22.874226,2023-01-08 19:08:31.226580,0 days 00:02:08.352354,119,3,67,COMPLETE
43,43,0.7411823778020861,2023-01-08 19:07:10.806180,2023-01-08 19:09:28.954395,0 days 00:02:18.148215,136,3,68,COMPLETE
44,44,0.7411823778020861,2023-01-08 19:07:24.968278,2023-01-08 19:09:45.421345,0 days 00:02:20.453067,170,3,68,COMPLETE
45,45,0.7411823778020861,2023-01-08 19:07:29.541581,2023-01-08 19:09:39.899997,0 days 00:02:10.358416,114,3,69,COMPLETE
46,46,0.7411823778020861,2023-01-08 19:07:35.199965,2023-01-08 19:09:23.751230,0 days 00:01:48.551265,184,3,68,COMPLETE
47,47,0.7411823778020861,2023-01-08 19:08:04.897182,2023-01-08 19:10:08.798817,0 days 00:02:03.901635,193,3,55,COMPLETE
48,48,0.7411823778020861,2023-01-08 19:08:13.455311,2023-01-08 19:10:16.626633,0 days 00:02:03.171322,189,3,50,COMPLETE
49,49,0.7411823778020861,2023-01-08 19:08:19.222095,2023-01-08 19:10:38.374692,0 days 00:02:19.152597,209,3,51,COMPLETE
