,number,value,datetime_start,datetime_complete,duration,params_metric,state
0,0,0.6659544047402486,2023-01-07 15:02:08.489844,2023-01-07 15:13:53.031007,0 days 00:11:44.541163,manhattan,COMPLETE
1,1,0.7743032169894642,2023-01-07 15:02:08.511660,2023-01-07 15:11:21.660577,0 days 00:09:13.148917,euclidean,COMPLETE
2,2,0.7743032169894642,2023-01-07 15:02:08.538157,2023-01-07 15:07:32.735043,0 days 00:05:24.196886,euclidean,COMPLETE
3,3,0.5855934925543346,2023-01-07 15:02:08.562851,2023-01-07 15:12:39.087587,0 days 00:10:30.524736,chebyshev,COMPLETE
4,4,0.7743032169894642,2023-01-07 15:02:08.564181,2023-01-07 15:10:13.482467,0 days 00:08:04.918286,euclidean,COMPLETE
5,5,0.7743032169894642,2023-01-07 15:02:08.564647,2023-01-07 15:05:08.380138,0 days 00:02:59.815491,euclidean,COMPLETE
6,6,0.7743032169894642,2023-01-07 15:02:08.622225,2023-01-07 15:06:21.193405,0 days 00:04:12.571180,minkowski,COMPLETE
7,7,0.6659544047402486,2023-01-07 15:02:08.658758,2023-01-07 15:08:45.320857,0 days 00:06:36.662099,manhattan,COMPLETE
8,8,0.6659544047402486,2023-01-07 15:05:08.607230,2023-01-07 15:15:11.604428,0 days 00:10:02.997198,manhattan,COMPLETE
9,9,0.5855934925543346,2023-01-07 15:06:21.402401,2023-01-07 15:16:29.081803,0 days 00:10:07.679402,chebyshev,COMPLETE
10,10,0.7743032169894642,2023-01-07 15:07:32.982715,2023-01-07 15:17:34.975215,0 days 00:10:01.992500,minkowski,COMPLETE
11,11,0.7743032169894642,2023-01-07 15:08:45.487799,2023-01-07 15:19:01.557008,0 days 00:10:16.069209,minkowski,COMPLETE
12,12,0.7743032169894642,2023-01-07 15:10:13.690051,2023-01-07 15:20:17.894263,0 days 00:10:04.204212,euclidean,COMPLETE
13,13,0.7743032169894642,2023-01-07 15:11:21.843270,2023-01-07 15:21:24.266661,0 days 00:10:02.423391,minkowski,COMPLETE
14,14,0.6659544047402486,2023-01-07 15:12:39.269780,2023-01-07 15:22:31.039199,0 days 00:09:51.769419,manhattan,COMPLETE
15,15,0.7743032169894642,2023-01-07 15:13:53.231717,2023-01-07 15:24:10.793039,0 days 00:10:17.561322,minkowski,COMPLETE
16,16,0.5855934925543346,2023-01-07 15:15:11.795519,2023-01-07 15:25:28.409322,0 days 00:10:16.613803,chebyshev,COMPLETE
17,17,0.7743032169894642,2023-01-07 15:16:29.257818,2023-01-07 15:26:32.834337,0 days 00:10:03.576519,minkowski,COMPLETE
18,18,0.7743032169894642,2023-01-07 15:17:35.162032,2023-01-07 15:27:46.473048,0 days 00:10:11.311016,euclidean,COMPLETE
19,19,0.7743032169894642,2023-01-07 15:19:01.741085,2023-01-07 15:29:19.481613,0 days 00:10:17.740528,euclidean,COMPLETE
20,20,0.7743032169894642,2023-01-07 15:20:18.053453,2023-01-07 15:30:30.174404,0 days 00:10:12.120951,euclidean,COMPLETE
21,21,0.7743032169894642,2023-01-07 15:21:24.470293,2023-01-07 15:31:38.471136,0 days 00:10:14.000843,euclidean,COMPLETE
22,22,,2023-01-07 15:22:31.208063,2023-01-07 15:32:00.259810,0 days 00:09:29.051747,euclidean,FAIL
23,23,,2023-01-07 15:24:10.947894,2023-01-07 15:32:00.695365,0 days 00:07:49.747471,euclidean,FAIL
24,24,,2023-01-07 15:25:28.581050,2023-01-07 15:32:00.388495,0 days 00:06:31.807445,euclidean,FAIL
25,25,,2023-01-07 15:26:33.015846,2023-01-07 15:32:00.571674,0 days 00:05:27.555828,euclidean,FAIL
26,26,,2023-01-07 15:27:46.648893,2023-01-07 15:32:00.782423,0 days 00:04:14.133530,euclidean,FAIL
27,27,,2023-01-07 15:29:19.680287,2023-01-07 15:32:00.681575,0 days 00:02:41.001288,euclidean,FAIL
28,28,,2023-01-07 15:30:30.346390,2023-01-07 15:32:00.281251,0 days 00:01:29.934861,minkowski,FAIL
29,29,,2023-01-07 15:31:38.718647,2023-01-07 15:32:12.702250,0 days 00:00:33.983603,euclidean,FAIL
30,30,,2023-01-07 15:33:26.827761,,,euclidean,RUNNING
31,31,,2023-01-07 15:33:26.849854,,,euclidean,RUNNING
32,32,,2023-01-07 15:33:26.872054,,,euclidean,RUNNING
33,33,,2023-01-07 15:33:26.896074,,,euclidean,RUNNING
34,34,,2023-01-07 15:33:26.920825,,,euclidean,RUNNING
35,35,,2023-01-07 15:33:26.945522,,,euclidean,RUNNING
36,36,,2023-01-07 15:33:26.970667,,,euclidean,RUNNING
37,37,,2023-01-07 15:33:26.995434,,,euclidean,RUNNING
38,38,0.7501269937058128,2023-01-07 15:34:35.173168,2023-01-07 15:36:53.482480,0 days 00:02:18.309312,euclidean,COMPLETE
39,39,0.7501269937058128,2023-01-07 15:34:35.197668,2023-01-07 15:36:39.288950,0 days 00:02:04.091282,euclidean,COMPLETE
40,40,0.7501269937058128,2023-01-07 15:34:35.220059,2023-01-07 15:36:30.382491,0 days 00:01:55.162432,euclidean,COMPLETE
41,41,0.7501269937058128,2023-01-07 15:34:35.242994,2023-01-07 15:37:10.268434,0 days 00:02:35.025440,euclidean,COMPLETE
42,42,0.7501269937058128,2023-01-07 15:34:35.267067,2023-01-07 15:36:21.044435,0 days 00:01:45.777368,euclidean,COMPLETE
43,43,0.7501269937058128,2023-01-07 15:34:35.290142,2023-01-07 15:36:04.887671,0 days 00:01:29.597529,euclidean,COMPLETE
44,44,0.7501269937058128,2023-01-07 15:34:35.312898,2023-01-07 15:36:13.586163,0 days 00:01:38.273265,euclidean,COMPLETE
45,45,0.7501269937058128,2023-01-07 15:34:35.337314,2023-01-07 15:37:03.829563,0 days 00:02:28.492249,euclidean,COMPLETE
46,46,0.7501269937058128,2023-01-07 15:36:05.051996,2023-01-07 15:37:43.350384,0 days 00:01:38.298388,minkowski,COMPLETE
47,47,0.7501269937058128,2023-01-07 15:36:13.733714,2023-01-07 15:38:15.536367,0 days 00:02:01.802653,minkowski,COMPLETE
48,48,0.7501269937058128,2023-01-07 15:36:21.389779,2023-01-07 15:38:21.038766,0 days 00:01:59.648987,euclidean,COMPLETE
49,49,0.7501269937058128,2023-01-07 15:36:30.550364,2023-01-07 15:38:33.210105,0 days 00:02:02.659741,minkowski,COMPLETE
50,50,0.7501269937058128,2023-01-07 15:36:39.715502,2023-01-07 15:38:44.557738,0 days 00:02:04.842236,minkowski,COMPLETE
51,51,0.7501269937058128,2023-01-07 15:36:53.650462,2023-01-07 15:39:08.883259,0 days 00:02:15.232797,minkowski,COMPLETE
52,52,0.7501269937058128,2023-01-07 15:37:03.975571,2023-01-07 15:39:18.929072,0 days 00:02:14.953501,minkowski,COMPLETE
53,53,0.7501269937058128,2023-01-07 15:37:10.371485,2023-01-07 15:39:25.135215,0 days 00:02:14.763730,minkowski,COMPLETE
54,54,0.7501269937058128,2023-01-07 15:37:43.460902,2023-01-07 15:39:50.710308,0 days 00:02:07.249406,minkowski,COMPLETE
55,55,0.7501269937058128,2023-01-07 15:38:15.821438,2023-01-07 15:40:15.379066,0 days 00:01:59.557628,minkowski,COMPLETE
56,56,0.6523690544875792,2023-01-07 15:38:21.418621,2023-01-07 15:40:34.429599,0 days 00:02:13.010978,chebyshev,COMPLETE
57,57,0.7501269937058128,2023-01-07 15:38:33.750762,2023-01-07 15:40:42.500106,0 days 00:02:08.749344,minkowski,COMPLETE
