,number,value,datetime_start,datetime_complete,duration,params_n_clusters,state
0,0,0.764398285817854,2023-01-07 13:19:17.095106,2023-01-07 13:24:12.206358,0 days 00:04:55.111252,1024,COMPLETE
1,1,0.7223101767842309,2023-01-07 13:19:17.117304,2023-01-07 13:21:58.542992,0 days 00:02:41.425688,64,COMPLETE
2,2,0.7486301901009595,2023-01-07 13:19:17.135328,2023-01-07 13:24:07.201573,0 days 00:04:50.066245,512,COMPLETE
3,3,0.7486301901009595,2023-01-07 13:19:17.158776,2023-01-07 13:22:06.119575,0 days 00:02:48.960799,512,COMPLETE
4,4,0.7559969385531309,2023-01-07 13:19:17.182390,2023-01-07 13:24:18.843561,0 days 00:05:01.661171,256,COMPLETE
5,5,0.764398285817854,2023-01-07 13:19:17.203346,2023-01-07 13:22:29.536533,0 days 00:03:12.333187,1024,COMPLETE
6,6,0.7465787093062255,2023-01-07 13:19:17.231371,2023-01-07 13:24:05.173260,0 days 00:04:47.941889,128,COMPLETE
7,7,0.7559969385531309,2023-01-07 13:19:17.289150,2023-01-07 13:24:29.005246,0 days 00:05:11.716096,256,COMPLETE
8,8,0.7559969385531309,2023-01-07 13:21:59.034635,2023-01-07 13:25:08.501688,0 days 00:03:09.467053,256,COMPLETE
9,9,0.7486301901009595,2023-01-07 13:22:06.342109,2023-01-07 13:25:07.989753,0 days 00:03:01.647644,512,COMPLETE
10,10,0.7559969385531309,2023-01-07 13:22:29.773948,2023-01-07 13:25:17.776621,0 days 00:02:48.002673,256,COMPLETE
11,11,0.7223101767842309,2023-01-07 13:24:05.523606,2023-01-07 13:25:55.889388,0 days 00:01:50.365782,64,COMPLETE
12,12,0.7486301901009595,2023-01-07 13:24:07.355745,2023-01-07 13:26:47.444675,0 days 00:02:40.088930,512,COMPLETE
13,13,0.7486301901009595,2023-01-07 13:24:12.329582,2023-01-07 13:27:07.100868,0 days 00:02:54.771286,512,COMPLETE
14,14,0.7465787093062255,2023-01-07 13:24:19.012775,2023-01-07 13:27:06.233213,0 days 00:02:47.220438,128,COMPLETE
15,15,0.764398285817854,2023-01-07 13:24:29.198067,2023-01-07 13:29:27.947195,0 days 00:04:58.749128,1024,COMPLETE
16,16,0.7465787093062255,2023-01-07 13:25:08.148682,2023-01-07 13:29:48.685394,0 days 00:04:40.536712,128,COMPLETE
17,17,0.764398285817854,2023-01-07 13:25:08.634618,2023-01-07 13:30:32.282401,0 days 00:05:23.647783,1024,COMPLETE
18,18,0.764398285817854,2023-01-07 13:25:17.864994,2023-01-07 13:32:04.677730,0 days 00:06:46.812736,1024,COMPLETE
19,19,0.764398285817854,2023-01-07 13:25:55.975440,2023-01-07 13:33:12.943939,0 days 00:07:16.968499,1024,COMPLETE
20,20,0.764398285817854,2023-01-07 13:26:47.825197,2023-01-07 13:34:53.950933,0 days 00:08:06.125736,1024,COMPLETE
21,21,0.764398285817854,2023-01-07 13:27:06.648920,2023-01-07 13:36:07.277284,0 days 00:09:00.628364,1024,COMPLETE
22,22,0.764398285817854,2023-01-07 13:27:07.549939,2023-01-07 13:37:16.005587,0 days 00:10:08.455648,1024,COMPLETE
23,23,0.764398285817854,2023-01-07 13:29:28.122516,2023-01-07 13:38:30.754074,0 days 00:09:02.631558,1024,COMPLETE
24,24,,2023-01-07 13:29:48.885223,2023-01-07 13:39:09.574556,0 days 00:09:20.689333,1024,FAIL
25,25,,2023-01-07 13:30:32.660548,2023-01-07 13:39:09.870971,0 days 00:08:37.210423,1024,FAIL
26,26,,2023-01-07 13:32:04.841749,2023-01-07 13:39:09.744074,0 days 00:07:04.902325,1024,FAIL
27,27,,2023-01-07 13:33:13.168665,2023-01-07 13:39:09.828586,0 days 00:05:56.659921,1024,FAIL
28,28,,2023-01-07 13:34:54.209605,2023-01-07 13:39:09.842981,0 days 00:04:15.633376,1024,FAIL
29,29,,2023-01-07 13:36:07.446270,2023-01-07 13:39:09.856952,0 days 00:03:02.410682,1024,FAIL
30,30,,2023-01-07 13:37:16.176779,2023-01-07 13:39:09.601517,0 days 00:01:53.424738,1024,FAIL
31,31,,2023-01-07 13:38:30.941790,,,1024,RUNNING
