,number,value,datetime_start,datetime_complete,duration,params_n_features,state
0,0,0.5653010026065538,2022-12-29 22:34:49.934765,2022-12-29 22:36:09.227142,0 days 00:01:19.292377,811,COMPLETE
1,1,0.5663023880780924,2022-12-29 22:34:49.935178,2022-12-29 22:35:53.406810,0 days 00:01:03.471632,578,COMPLETE
2,2,0.5639545738571028,2022-12-29 22:34:49.935682,2022-12-29 22:35:39.370175,0 days 00:00:49.434493,785,COMPLETE
3,3,0.5739739237666426,2022-12-29 22:34:49.936269,2022-12-29 22:35:46.007340,0 days 00:00:56.071071,643,COMPLETE
4,4,0.5658606970087874,2022-12-29 22:34:49.936851,2022-12-29 22:35:28.412482,0 days 00:00:38.475631,545,COMPLETE
5,5,0.5557882804204265,2022-12-29 22:34:49.937173,2022-12-29 22:36:00.610091,0 days 00:01:10.672918,609,COMPLETE
6,6,0.5247933927608728,2022-12-29 22:34:49.937589,2022-12-29 22:35:32.286547,0 days 00:00:42.348958,301,COMPLETE
7,7,0.37837188009096295,2022-12-29 22:34:49.938008,2022-12-29 22:35:18.463581,0 days 00:00:28.525573,81,COMPLETE
8,8,0.5658788899936567,2022-12-29 22:35:18.465644,2022-12-29 22:36:20.569518,0 days 00:01:02.103874,936,COMPLETE
9,9,0.5694445936695454,2022-12-29 22:35:28.438946,2022-12-29 22:36:30.053083,0 days 00:01:01.614137,719,COMPLETE
10,10,0.5671108203226585,2022-12-29 22:35:32.287628,2022-12-29 22:36:37.769111,0 days 00:01:05.481483,687,COMPLETE
11,11,0.5616873748916725,2022-12-29 22:35:39.371473,2022-12-29 22:36:46.099283,0 days 00:01:06.727810,641,COMPLETE
12,12,0.5595917551377535,2022-12-29 22:35:46.014066,2022-12-29 22:36:53.493921,0 days 00:01:07.479855,441,COMPLETE
13,13,0.5662670897937163,2022-12-29 22:35:53.423531,2022-12-29 22:37:03.862521,0 days 00:01:10.438990,791,COMPLETE
14,14,0.3342799886270651,2022-12-29 22:36:00.616381,2022-12-29 22:36:54.940635,0 days 00:00:54.324254,59,COMPLETE
15,15,0.5548992743531971,2022-12-29 22:36:09.228563,2022-12-29 22:37:14.159459,0 days 00:01:04.930896,771,COMPLETE
16,16,0.5636327971501569,2022-12-29 22:36:20.667525,2022-12-29 22:37:23.856105,0 days 00:01:03.188580,576,COMPLETE
17,17,0.5346640993511604,2022-12-29 22:36:30.058100,2022-12-29 22:37:30.049938,0 days 00:00:59.991838,371,COMPLETE
18,18,0.5449560663998888,2022-12-29 22:36:37.781830,2022-12-29 22:37:36.897956,0 days 00:00:59.116126,382,COMPLETE
19,19,0.5548099241517926,2022-12-29 22:36:46.106939,2022-12-29 22:37:45.137836,0 days 00:00:59.030897,387,COMPLETE
20,20,0.5568532285425236,2022-12-29 22:36:53.515326,2022-12-29 22:38:01.573019,0 days 00:01:08.057693,983,COMPLETE
21,21,0.5461223183960057,2022-12-29 22:36:54.953496,2022-12-29 22:37:53.074783,0 days 00:00:58.121287,403,COMPLETE
22,22,0.5617571157942419,2022-12-29 22:37:03.903747,2022-12-29 22:38:10.187254,0 days 00:01:06.283507,991,COMPLETE
23,23,0.5582262274837089,2022-12-29 22:37:14.207719,2022-12-29 22:38:16.461991,0 days 00:01:02.254272,420,COMPLETE
24,24,0.5362413727636988,2022-12-29 22:37:23.857671,2022-12-29 22:38:24.129711,0 days 00:01:00.272040,381,COMPLETE
25,25,0.5540377588160326,2022-12-29 22:37:30.055692,2022-12-29 22:38:35.503681,0 days 00:01:05.447989,927,COMPLETE
26,26,0.5650880383299552,2022-12-29 22:37:36.914603,2022-12-29 22:38:43.191087,0 days 00:01:06.276484,977,COMPLETE
27,27,0.5702675041538767,2022-12-29 22:37:45.139136,2022-12-29 22:38:51.081117,0 days 00:01:05.941981,937,COMPLETE
28,28,0.5681771451958266,2022-12-29 22:37:53.076161,2022-12-29 22:38:59.833540,0 days 00:01:06.757379,694,COMPLETE
29,29,0.5589723568940507,2022-12-29 22:38:01.635566,2022-12-29 22:39:07.932962,0 days 00:01:06.297396,690,COMPLETE
30,30,0.5625256498796801,2022-12-29 22:38:10.222864,2022-12-29 22:39:15.473660,0 days 00:01:05.250796,724,COMPLETE
31,31,0.5666939121209371,2022-12-29 22:38:16.526413,2022-12-29 22:39:23.273878,0 days 00:01:06.747465,678,COMPLETE
