,number,value,datetime_start,datetime_complete,duration,params_C,params_dimensionality_reduction,params_gamma,params_kernel,params_n_clusters,params_n_components_LDA,params_n_components_PCA,params_n_features,params_normalization,params_probability,params_spatial_pyramid,params_step_size,state
0,0,0.0,2023-01-15 13:46:58.685355,2023-01-15 13:47:07.662847,0 days 00:00:08.977492,0.34512953740701924,LDA,0.019425108029506304,RBF,140,6.0,,140,l2,True,horizontal 4x1,1,COMPLETE
1,1,0.0,2023-01-15 13:46:58.721176,2023-01-15 13:47:30.020863,0 days 00:00:31.299687,0.011778750917183195,LDA,3.1009180736418767,histogram_intersection,453,7.0,,240,none,False,1x1,11,COMPLETE
2,2,0.0,2023-01-15 13:47:07.778962,2023-01-15 13:47:43.096176,0 days 00:00:35.317214,475.360791029843,PCA,3.036335671200496,histogram_intersection,502,,83.0,139,none,False,2x2,3,COMPLETE
3,3,0.19451214824359994,2023-01-15 13:47:30.097136,2023-01-15 13:49:04.313328,0 days 00:01:34.216192,14.938826450727923,LDA,105.23424333746465,RBF,662,1.0,,192,power,True,vertical 1x3,19,COMPLETE
4,4,0.0,2023-01-15 13:47:43.195279,2023-01-15 13:48:57.162900,0 days 00:01:13.967621,11.294643007981625,LDA,0.02767351941115863,histogram_intersection,916,6.0,,135,power,False,4x4,3,COMPLETE
5,5,0.12596153846153846,2023-01-15 13:48:57.273077,2023-01-15 13:49:24.405328,0 days 00:00:27.132251,1.0296017158119006,LDA,712.1807471049353,RBF,178,7.0,,279,none,True,horizontal 4x1,10,COMPLETE
6,6,0.0,2023-01-15 13:49:04.400249,2023-01-15 13:49:51.323240,0 days 00:00:46.922991,0.4031529433423548,LDA,0.004837585404487634,histogram_intersection,84,3.0,,241,none,False,vertical 1x2,16,COMPLETE
7,7,0.43156793431072904,2023-01-15 13:49:24.508546,2023-01-15 13:50:23.741517,0 days 00:00:59.232971,0.020680280741742135,LDA,0.003607378057914366,linear,529,3.0,,225,none,True,2x2,19,COMPLETE
8,8,0.0,2023-01-15 13:49:51.413117,2023-01-15 13:50:39.712150,0 days 00:00:48.299033,0.8245833326410593,PCA,0.12602957379700594,histogram_intersection,853,,81.0,245,power,True,horizontal 2x1,8,COMPLETE
9,9,0.0,2023-01-15 13:50:24.163498,2023-01-15 13:50:40.922457,0 days 00:00:16.758959,0.006393673851171416,LDA,0.011192142181436398,RBF,496,1.0,,202,l2,True,4x4,1,COMPLETE
10,10,0.0,2023-01-15 13:50:39.800063,2023-01-15 13:51:33.058745,0 days 00:00:53.258682,320.9269749784517,LDA,0.0015654212265200755,histogram_intersection,372,3.0,,165,power,False,2x2,19,COMPLETE
11,11,0.2251402792921721,2023-01-15 13:50:41.022638,2023-01-15 13:51:56.209300,0 days 00:01:15.186662,0.0012870827707358965,PCA,0.0012164553031571831,linear,301,,2.0,191,none,True,vertical 1x3,20,COMPLETE
12,12,0.41017248964803316,2023-01-15 13:51:33.143528,2023-01-15 13:53:10.984477,0 days 00:01:37.840949,0.0010725082566745178,PCA,184.8986494012307,linear,709,,4.0,195,power,True,vertical 1x4,20,COMPLETE
13,13,0.5640010858930955,2023-01-15 13:51:56.315158,2023-01-15 13:52:28.210485,0 days 00:00:31.895327,0.001385183442381783,PCA,0.0013894188710239057,linear,284,,8.0,201,none,True,vertical 1x3,15,COMPLETE
14,14,0.7274098738494205,2023-01-15 13:52:28.296948,2023-01-15 13:53:25.317634,0 days 00:00:57.020686,0.032351624977523,PCA,0.26729295359058564,linear,703,,5.0,217,none,True,vertical 1x4,15,COMPLETE
15,15,0.8059581309314453,2023-01-15 13:53:11.148554,2023-01-15 13:54:06.892883,0 days 00:00:55.744329,0.03237846551621967,PCA,0.23395635042466478,linear,668,,34.0,291,none,True,horizontal 3x1,15,COMPLETE
16,16,0.8067795493946859,2023-01-15 13:53:25.405756,2023-01-15 13:54:26.387112,0 days 00:01:00.981356,0.058655687864247484,PCA,0.2953442345485737,linear,701,,33.0,101,none,True,horizontal 3x1,15,COMPLETE
17,17,0.819856721107303,2023-01-15 13:54:07.099992,2023-01-15 13:55:10.826505,0 days 00:01:03.726513,0.06154718602656037,PCA,0.4841801966453998,linear,1016,,41.0,299,l2,True,horizontal 3x1,14,COMPLETE
18,18,0.8080925555086174,2023-01-15 13:54:26.479675,2023-01-15 13:55:30.974743,0 days 00:01:04.495068,0.09804028098808473,PCA,0.8305283387046951,linear,801,,44.0,112,l2,True,horizontal 3x1,12,COMPLETE
19,19,0.8090144383084541,2023-01-15 13:55:11.042502,2023-01-15 13:56:12.514787,0 days 00:01:01.472285,0.14036532276678715,PCA,9.317936461015991,linear,1010,,55.0,110,l2,True,horizontal 3x1,11,COMPLETE
20,20,0.7908524961814535,2023-01-15 13:55:31.063605,2023-01-15 13:56:39.770514,0 days 00:01:08.706909,0.1849539465837491,PCA,15.370385092194212,linear,981,,58.0,102,l2,True,horizontal 3x1,12,COMPLETE
21,21,0.7720894704836402,2023-01-15 13:56:12.767894,2023-01-15 13:57:15.314993,0 days 00:01:02.547099,6.041197585338545,PCA,30.759386536209078,linear,1016,,56.0,269,l2,True,horizontal 3x1,7,COMPLETE
22,22,0.8025895993106203,2023-01-15 13:56:40.062442,2023-01-15 13:57:36.598531,0 days 00:00:56.536089,0.0887763215624445,PCA,2.0573120696735714,linear,1017,,54.0,114,l2,True,horizontal 3x1,8,COMPLETE
23,23,0.8046081005462268,2023-01-15 13:57:15.684573,2023-01-15 13:58:20.809932,0 days 00:01:05.125359,0.09227040313844151,PCA,1.039958385676754,linear,879,,37.0,118,l2,True,horizontal 3x1,13,COMPLETE
24,24,0.8010639900257296,2023-01-15 13:57:36.687782,2023-01-15 13:58:43.201887,0 days 00:01:06.514105,1.624857862032204,PCA,9.945077522095017,linear,936,,37.0,165,l2,True,horizontal 3x1,13,COMPLETE
25,25,0.7812522781003508,2023-01-15 13:58:20.947659,2023-01-15 13:59:22.942293,0 days 00:01:01.994634,2.573137293677861,PCA,10.311320897219485,linear,807,,72.0,153,l2,True,horizontal 2x1,13,COMPLETE
26,26,0.8001047288122024,2023-01-15 13:58:43.285880,2023-01-15 13:59:38.031528,0 days 00:00:54.745648,0.006933904759716198,PCA,0.10618748089427317,linear,803,,69.0,160,l2,True,horizontal 2x1,10,COMPLETE
27,27,0.809420830761644,2023-01-15 13:59:23.107179,2023-01-15 14:00:39.007047,0 days 00:01:15.899868,0.0059549605388982355,PCA,0.05804991342577071,linear,775,,99.0,124,l2,False,1x1,10,COMPLETE
28,28,0.7898958870909376,2023-01-15 13:59:38.130065,2023-01-15 14:00:39.636822,0 days 00:01:01.506757,46.01368848271735,PCA,0.6099809836471144,linear,817,,21.0,124,l2,False,1x1,17,COMPLETE
29,29,0.7610528746265353,2023-01-15 14:00:39.098892,2023-01-15 14:01:10.165571,0 days 00:00:31.066679,0.0031533235311380988,PCA,0.05569955693210822,linear,597,,99.0,127,l2,False,1x1,6,COMPLETE
30,30,0.125,2023-01-15 14:00:39.715062,2023-01-15 14:01:20.242542,0 days 00:00:40.527480,0.002993742404256106,PCA,0.0410667656786288,RBF,615,,21.0,181,l2,False,1x1,7,COMPLETE
31,31,0.7825538178608831,2023-01-15 14:01:10.418020,2023-01-15 14:02:04.558385,0 days 00:00:54.140365,0.3651057767531429,PCA,0.040037708630673186,RBF,938,,45.0,181,l2,False,vertical 1x2,9,COMPLETE
32,32,0.8073256867713636,2023-01-15 14:01:20.325765,2023-01-15 14:02:24.442857,0 days 00:01:04.117092,0.17020342178673148,PCA,0.7443635232724553,linear,945,,46.0,111,l2,False,vertical 1x2,11,COMPLETE
33,33,0.7960410050251395,2023-01-15 14:02:04.745062,2023-01-15 14:02:53.455401,0 days 00:00:48.710339,0.18008379252462106,PCA,0.7497566862241021,linear,762,,64.0,150,l2,False,horizontal 4x1,11,COMPLETE
34,34,0.8138028904257452,2023-01-15 14:02:24.532920,2023-01-15 14:03:20.593187,0 days 00:00:56.060267,0.024358375024707928,PCA,4.39649346580659,linear,766,,99.0,143,l2,False,horizontal 3x1,12,COMPLETE
