,number,value,datetime_start,datetime_complete,duration,params_spatial_pyramid,state
0,0,0.8320782512013969,2023-01-15 18:43:08.041795,2023-01-15 18:45:35.581058,0 days 00:02:27.539263,2x2,COMPLETE
1,1,0.826234557354803,2023-01-15 18:43:08.062770,2023-01-15 18:44:32.964362,0 days 00:01:24.901592,vertical 1x2,COMPLETE
2,2,0.8355826765107816,2023-01-15 18:43:08.089227,2023-01-15 18:44:57.474738,0 days 00:01:49.385511,vertical 1x2,COMPLETE
3,3,0.839710867715252,2023-01-15 18:43:08.111602,2023-01-15 18:43:37.011113,0 days 00:00:28.899511,vertical 1x2,COMPLETE
4,4,0.8278175778625751,2023-01-15 18:43:08.133386,2023-01-15 18:44:35.385032,0 days 00:01:27.251646,horizontal 2x1,COMPLETE
5,5,0.8313395071692732,2023-01-15 18:43:08.155249,2023-01-15 18:43:57.820101,0 days 00:00:49.664852,vertical 1x2,COMPLETE
6,6,0.8332656951205243,2023-01-15 18:43:08.178674,2023-01-15 18:45:56.915158,0 days 00:02:48.736484,4x4,COMPLETE
7,7,0.833133617480107,2023-01-15 18:43:08.203408,2023-01-15 18:45:16.805478,0 days 00:02:08.602070,4x4,COMPLETE
8,8,0.8305277318007137,2023-01-15 18:43:37.573752,2023-01-15 18:46:14.601354,0 days 00:02:37.027602,2x2,COMPLETE
9,9,0.8404645888405851,2023-01-15 18:43:58.230395,2023-01-15 18:46:33.917522,0 days 00:02:35.687127,vertical 1x4,COMPLETE
10,10,0.8457910448195947,2023-01-15 18:44:33.185365,2023-01-15 18:46:53.106787,0 days 00:02:19.921422,vertical 1x4,COMPLETE
11,11,0.823277008778153,2023-01-15 18:44:35.773769,2023-01-15 18:47:13.521103,0 days 00:02:37.747334,4x4,COMPLETE
12,12,0.826401391852972,2023-01-15 18:44:57.927966,2023-01-15 18:47:32.289026,0 days 00:02:34.361060,2x2,COMPLETE
13,13,0.8327502505259499,2023-01-15 18:45:16.970546,2023-01-15 18:47:50.793229,0 days 00:02:33.822683,vertical 1x2,COMPLETE
14,14,0.8402974959866579,2023-01-15 18:45:35.777623,2023-01-15 18:48:09.628037,0 days 00:02:33.850414,vertical 1x3,COMPLETE
15,15,0.8336413395909963,2023-01-15 18:45:57.497850,2023-01-15 18:48:28.725535,0 days 00:02:31.227685,vertical 1x3,COMPLETE
16,16,0.8442578880849811,2023-01-15 18:46:15.215843,2023-01-15 18:48:47.434205,0 days 00:02:32.218362,vertical 1x3,COMPLETE
17,17,0.8415653970395054,2023-01-15 18:46:34.181084,2023-01-15 18:49:06.504647,0 days 00:02:32.323563,vertical 1x4,COMPLETE
18,18,0.8443283573130097,2023-01-15 18:46:53.340343,2023-01-15 18:49:25.582366,0 days 00:02:32.242023,vertical 1x4,COMPLETE
19,19,0.8503306022257682,2023-01-15 18:47:13.700118,2023-01-15 18:49:44.693452,0 days 00:02:30.993334,vertical 1x4,COMPLETE
20,20,0.8452408478397244,2023-01-15 18:47:32.486058,2023-01-15 18:50:03.772100,0 days 00:02:31.286042,vertical 1x4,COMPLETE
21,21,0.8428422001668077,2023-01-15 18:47:51.043912,2023-01-15 18:50:23.017619,0 days 00:02:31.973707,vertical 1x4,COMPLETE
